Monitoring Session Started: 2026-04-28 13:09:38.893553
Timestamp            | PID        | Process Name              | CPU %      | Mem (MB)  
-------------------------------------------------------------------------------------
2026-04-28 13:09:41  | 0          | System Idle Process       | 230.80     | 0.01      
2026-04-28 13:09:41  | 4          | System                    | 1.90       | 0.16      
2026-04-28 13:09:41  | 416        | svchost.exe               | 2.50       | 19.15     
2026-04-28 13:09:41  | 700        | csrss.exe                 | 1.20       | 19.43     
2026-04-28 13:09:41  | 992        | svchost.exe               | 1.20       | 35.94     
2026-04-28 13:09:41  | 1088       | dwm.exe                   | 6.50       | 114.54    
2026-04-28 13:09:41  | 1220       | python.exe                | 2.40       | 17.91     
2026-04-28 13:09:41  | 2524       | svchost.exe               | 1.70       | 23.63     
2026-04-28 13:09:41  | 2888       | svchost.exe               | 1.70       | 45.73     
2026-04-28 13:09:41  | 3220       | svchost.exe               | 3.90       | 21.61     
2026-04-28 13:09:41  | 3260       | MsMpEng.exe               | 8.90       | 265.57    
2026-04-28 13:09:41  | 3912       | WmiPrvSE.exe              | 1.10       | 27.95     
2026-04-28 13:09:41  | 4052       | Code.exe                  | 0.60       | 398.17    
2026-04-28 13:09:41  | 4484       | taskhostw.exe             | 0.60       | 20.85     
2026-04-28 13:09:41  | 5060       | sihost.exe                | 0.60       | 50.18     
2026-04-28 13:09:41  | 5200       | explorer.exe              | 13.90      | 301.42    
2026-04-28 13:09:41  | 5528       | svchost.exe               | 0.60       | 13.62     
2026-04-28 13:09:41  | 6512       | SecurityHealthService.exe | 1.70       | 27.42     
2026-04-28 13:09:41  | 6740       | Code.exe                  | 4.00       | 194.47    
2026-04-28 13:09:41  | 7404       | msedgewebview2.exe        | 0.60       | 115.86    
2026-04-28 13:09:41  | 7848       | Code.exe                  | 47.50      | 96.87     
2026-04-28 13:09:41  | 8256       | ctfmon.exe                | 1.10       | 32.77     
2026-04-28 13:09:41  | 9548       | Code.exe                  | 6.70       | 138.41    
2026-04-28 13:09:41  | 9760       | Code.exe                  | 0.60       | 116.55    
2026-04-28 13:09:41  | 10096      | Code.exe                  | 1.70       | 129.16    
2026-04-28 13:09:41  | 10136      | Code.exe                  | 16.20      | 293.77    
2026-04-28 13:09:41  | 10888      | ProtonVPN.Client.exe      | 0.60       | 346.17    
2026-04-28 13:09:41  | 11600      | ShellExperienceHost.exe   | 2.80       | 98.17     
2026-04-28 13:09:44  | 0          | System Idle Process       | 239.10     | 0.01      
2026-04-28 13:09:44  | 4          | System                    | 3.50       | 0.16      
2026-04-28 13:09:44  | 124        | Registry                  | 0.60       | 36.36     
2026-04-28 13:09:44  | 416        | svchost.exe               | 1.70       | 18.87     
2026-04-28 13:09:44  | 548        | ProtonVPNService.exe      | 0.60       | 245.51    
2026-04-28 13:09:44  | 616        | csrss.exe                 | 0.60       | 7.16      
2026-04-28 13:09:44  | 1088       | dwm.exe                   | 15.40      | 110.64    
2026-04-28 13:09:44  | 1220       | python.exe                | 2.50       | 17.92     
2026-04-28 13:09:44  | 1320       | OpenConsole.exe           | 0.60       | 10.97     
2026-04-28 13:09:44  | 2076       | svchost.exe               | 0.60       | 11.14     
2026-04-28 13:09:44  | 2888       | svchost.exe               | 1.30       | 45.43     
2026-04-28 13:09:44  | 3260       | MsMpEng.exe               | 0.60       | 263.51    
2026-04-28 13:09:44  | 4852       | svchost.exe               | 1.30       | 19.56     
2026-04-28 13:09:44  | 5200       | explorer.exe              | 5.80       | 301.46    
2026-04-28 13:09:44  | 6740       | Code.exe                  | 0.70       | 194.48    
2026-04-28 13:09:44  | 7848       | Code.exe                  | 23.50      | 91.73     
2026-04-28 13:09:44  | 9548       | Code.exe                  | 4.80       | 138.30    
2026-04-28 13:09:44  | 9760       | Code.exe                  | 0.70       | 116.74    
2026-04-28 13:09:44  | 10136      | Code.exe                  | 8.30       | 290.59    
2026-04-28 13:09:44  | 10888      | ProtonVPN.Client.exe      | 3.40       | 346.17    
