Monitoring Session Started: 2026-04-27 16:42:19.701861
Timestamp            | PID        | Process Name              | CPU %      | Mem (MB)  
-------------------------------------------------------------------------------------
2026-04-27 16:42:21  | 0          | System Idle Process       | 307.90     | 0.01      
2026-04-27 16:42:21  | 4          | System                    | 0.70       | 0.16      
2026-04-27 16:42:21  | 1080       | dwm.exe                   | 2.80       | 118.12    
2026-04-27 16:42:21  | 1364       | MemCompression            | 5.70       | 116.89    
2026-04-27 16:42:21  | 1472       | Code.exe                  | 23.40      | 288.49    
2026-04-27 16:42:21  | 1496       | python.exe                | 2.80       | 18.24     
2026-04-27 16:42:21  | 1880       | svchost.exe               | 5.70       | 17.84     
2026-04-27 16:42:21  | 2636       | Code.exe                  | 2.10       | 136.28    
2026-04-27 16:42:21  | 3468       | MsMpEng.exe               | 3.60       | 242.36    
2026-04-27 16:42:21  | 3524       | Code.exe                  | 16.40      | 111.29    
2026-04-27 16:42:21  | 3840       | OpenConsole.exe           | 0.70       | 10.91     
2026-04-27 16:42:21  | 6516       | Code.exe                  | 2.20       | 209.93    
2026-04-27 16:42:21  | 7032       | Code.exe                  | 1.40       | 126.58    
2026-04-27 16:42:21  | 7432       | Notepad.exe               | 0.70       | 14.97     
2026-04-27 16:42:21  | 8220       | SearchIndexer.exe         | 2.20       | 31.94     
2026-04-27 16:42:21  | 10996      | ProtonVPN.Client.exe      | 0.70       | 321.02    
2026-04-27 16:42:24  | 0          | System Idle Process       | 298.00     | 0.01      
2026-04-27 16:42:24  | 4          | System                    | 3.00       | 0.16      
2026-04-27 16:42:24  | 1080       | dwm.exe                   | 17.20      | 118.12    
2026-04-27 16:42:24  | 1472       | Code.exe                  | 16.40      | 292.37    
2026-04-27 16:42:24  | 1496       | python.exe                | 0.70       | 18.25     
2026-04-27 16:42:24  | 2620       | ctfmon.exe                | 0.70       | 32.09     
2026-04-27 16:42:24  | 2636       | Code.exe                  | 5.20       | 136.69    
2026-04-27 16:42:24  | 2804       | svchost.exe               | 0.70       | 14.00     
2026-04-27 16:42:24  | 3416       | vmtoolsd.exe              | 0.70       | 22.63     
2026-04-27 16:42:24  | 3468       | MsMpEng.exe               | 0.70       | 242.07    
2026-04-27 16:42:24  | 3524       | Code.exe                  | 26.80      | 112.93    
2026-04-27 16:42:24  | 3840       | OpenConsole.exe           | 0.70       | 10.91     
2026-04-27 16:42:24  | 5636       | explorer.exe              | 0.70       | 278.96    
2026-04-27 16:42:24  | 7032       | Code.exe                  | 5.90       | 126.71    
2026-04-27 16:42:24  | 8220       | SearchIndexer.exe         | 0.70       | 32.01     
2026-04-27 16:42:24  | 9404       | TextInputHost.exe         | 0.70       | 119.78    
2026-04-27 16:42:24  | 10388      | vmtoolsd.exe              | 2.20       | 19.57     
2026-04-27 16:42:24  | 10996      | ProtonVPN.Client.exe      | 0.70       | 321.02    
2026-04-27 16:42:26  | 0          | System Idle Process       | 360.60     | 0.01      
2026-04-27 16:42:26  | 1080       | dwm.exe                   | 3.00       | 118.12    
2026-04-27 16:42:26  | 1472       | Code.exe                  | 4.40       | 292.25    
2026-04-27 16:42:26  | 1496       | python.exe                | 1.50       | 18.25     
2026-04-27 16:42:26  | 2636       | Code.exe                  | 5.20       | 137.11    
2026-04-27 16:42:26  | 3468       | MsMpEng.exe               | 1.50       | 242.12    
2026-04-27 16:42:26  | 3524       | Code.exe                  | 11.90      | 114.07    
2026-04-27 16:42:26  | 3840       | OpenConsole.exe           | 0.70       | 10.91     
2026-04-27 16:42:26  | 5872       | ProtonVPNService.exe      | 1.50       | 109.47    
2026-04-27 16:42:26  | 7032       | Code.exe                  | 3.80       | 126.29    
2026-04-27 16:42:26  | 7632       | msedgewebview2.exe        | 0.80       | 110.05    
2026-04-27 16:42:28  | 0          | System Idle Process       | 350.00     | 0.01      
2026-04-27 16:42:28  | 1080       | dwm.exe                   | 2.20       | 118.12    
2026-04-27 16:42:28  | 1472       | Code.exe                  | 21.70      | 292.82    
2026-04-27 16:42:28  | 1496       | python.exe                | 2.20       | 18.25     
2026-04-27 16:42:28  | 2636       | Code.exe                  | 2.20       | 137.38    
2026-04-27 16:42:28  | 3468       | MsMpEng.exe               | 1.50       | 241.95    
2026-04-27 16:42:28  | 3524       | Code.exe                  | 9.70       | 113.97    
2026-04-27 16:42:28  | 7032       | Code.exe                  | 0.70       | 126.40    
2026-04-27 16:42:28  | 10996      | ProtonVPN.Client.exe      | 0.70       | 321.02    
2026-04-27 16:42:30  | 0          | System Idle Process       | 352.10     | 0.01      
2026-04-27 16:42:30  | 476        | SearchProtocolHost.exe    | 0.80       | 19.62     
2026-04-27 16:42:30  | 1080       | dwm.exe                   | 2.30       | 118.12    
2026-04-27 16:42:30  | 1472       | Code.exe                  | 10.50      | 288.43    
2026-04-27 16:42:30  | 1496       | python.exe                | 1.50       | 18.25     
2026-04-27 16:42:30  | 2636       | Code.exe                  | 1.50       | 137.03    
2026-04-27 16:42:30  | 3524       | Code.exe                  | 16.60      | 113.97    
2026-04-27 16:42:30  | 4512       | msedgewebview2.exe        | 0.80       | 106.81    
2026-04-27 16:42:30  | 6556       | msedge.exe                | 0.80       | 144.78    
2026-04-27 16:42:30  | 7032       | Code.exe                  | 0.80       | 126.48    
2026-04-27 16:42:30  | 7632       | msedgewebview2.exe        | 0.80       | 110.05    
2026-04-27 16:42:30  | 9116       | powershell.exe            | 0.80       | 68.39     
2026-04-27 16:42:30  | 10996      | ProtonVPN.Client.exe      | 1.50       | 321.02    
2026-04-27 16:42:32  | 0          | System Idle Process       | 367.60     | 0.01      
2026-04-27 16:42:32  | 4          | System                    | 0.80       | 0.16      
2026-04-27 16:42:32  | 1080       | dwm.exe                   | 0.80       | 118.13    
2026-04-27 16:42:32  | 1472       | Code.exe                  | 7.60       | 289.47    
2026-04-27 16:42:32  | 1496       | python.exe                | 1.50       | 18.25     
2026-04-27 16:42:32  | 2636       | Code.exe                  | 1.50       | 137.01    
2026-04-27 16:42:32  | 3416       | vmtoolsd.exe              | 0.80       | 22.63     
2026-04-27 16:42:32  | 3524       | Code.exe                  | 9.10       | 114.02    
2026-04-27 16:42:32  | 3840       | OpenConsole.exe           | 1.50       | 10.91     
2026-04-27 16:42:32  | 9116       | powershell.exe            | 0.70       | 68.39     
2026-04-27 16:42:32  | 9404       | TextInputHost.exe         | 0.70       | 119.78    
2026-04-27 16:42:32  | 10996      | ProtonVPN.Client.exe      | 2.30       | 321.02    
2026-04-27 16:42:34  | 0          | System Idle Process       | 291.70     | 0.01      
2026-04-27 16:42:34  | 708        | csrss.exe                 | 0.80       | 18.34     
2026-04-27 16:42:34  | 1080       | dwm.exe                   | 6.80       | 118.12    
2026-04-27 16:42:34  | 1472       | Code.exe                  | 10.50      | 293.56    
2026-04-27 16:42:34  | 1496       | python.exe                | 1.50       | 18.25     
2026-04-27 16:42:34  | 1920       | Code.exe                  | 33.80      | 452.27    
2026-04-27 16:42:34  | 2636       | Code.exe                  | 2.90       | 136.52    
2026-04-27 16:42:34  | 3416       | vmtoolsd.exe              | 0.70       | 22.63     
2026-04-27 16:42:34  | 3468       | MsMpEng.exe               | 4.40       | 244.25    
2026-04-27 16:42:34  | 3524       | Code.exe                  | 21.30      | 116.62    
2026-04-27 16:42:34  | 3724       | vm3dservice.exe           | 1.50       | 9.45      
2026-04-27 16:42:34  | 6476       | Code.exe                  | 0.70       | 107.27    
2026-04-27 16:42:34  | 6516       | Code.exe                  | 1.50       | 209.91    
2026-04-27 16:42:34  | 7032       | Code.exe                  | 2.20       | 126.68    
2026-04-27 16:42:34  | 10388      | vmtoolsd.exe              | 1.50       | 19.57     
2026-04-27 16:42:34  | 10996      | ProtonVPN.Client.exe      | 4.40       | 321.00    
2026-04-27 16:42:36  | 0          | System Idle Process       | 310.40     | 0.01      
2026-04-27 16:42:36  | 4          | System                    | 2.20       | 0.16      
2026-04-27 16:42:36  | 476        | SearchProtocolHost.exe    | 0.70       | 19.62     
2026-04-27 16:42:36  | 708        | csrss.exe                 | 0.70       | 18.32     
2026-04-27 16:42:36  | 1080       | dwm.exe                   | 4.40       | 118.12    
2026-04-27 16:42:36  | 1388       | svchost.exe               | 0.70       | 12.69     
2026-04-27 16:42:36  | 1472       | Code.exe                  | 13.90      | 296.86    
2026-04-27 16:42:36  | 1496       | python.exe                | 1.50       | 18.25     
2026-04-27 16:42:36  | 1920       | Code.exe                  | 16.90      | 452.22    
2026-04-27 16:42:36  | 2636       | Code.exe                  | 1.50       | 136.64    
2026-04-27 16:42:36  | 3468       | MsMpEng.exe               | 0.70       | 243.02    
2026-04-27 16:42:36  | 3524       | Code.exe                  | 13.50      | 116.64    
2026-04-27 16:42:36  | 6516       | Code.exe                  | 1.50       | 209.75    
2026-04-27 16:42:36  | 6556       | msedge.exe                | 0.80       | 144.76    
2026-04-27 16:42:36  | 6672       | SearchHost.exe            | 0.80       | 118.54    
2026-04-27 16:42:36  | 7032       | Code.exe                  | 6.80       | 126.39    
2026-04-27 16:42:36  | 8220       | SearchIndexer.exe         | 0.80       | 32.10     
2026-04-27 16:42:36  | 8264       | Code.exe                  | 0.80       | 114.53    
2026-04-27 16:42:36  | 9116       | powershell.exe            | 0.80       | 68.39     
2026-04-27 16:42:36  | 11396      | Code.exe                  | 0.80       | 47.87     
2026-04-27 16:42:38  | 0          | System Idle Process       | 327.50     | 0.01      
2026-04-27 16:42:38  | 4          | System                    | 1.50       | 0.16      
2026-04-27 16:42:38  | 1080       | dwm.exe                   | 4.50       | 118.12    
2026-04-27 16:42:38  | 1472       | Code.exe                  | 9.80       | 297.78    
2026-04-27 16:42:38  | 1496       | python.exe                | 3.00       | 18.25     
2026-04-27 16:42:38  | 2252       | svchost.exe               | 0.80       | 10.89     
2026-04-27 16:42:38  | 2636       | Code.exe                  | 5.30       | 136.76    
2026-04-27 16:42:38  | 3388       | svchost.exe               | 1.50       | 21.77     
2026-04-27 16:42:38  | 3416       | vmtoolsd.exe              | 1.50       | 22.63     
2026-04-27 16:42:38  | 3524       | Code.exe                  | 24.00      | 116.66    
2026-04-27 16:42:38  | 4280       | WmiPrvSE.exe              | 1.50       | 26.16     
2026-04-27 16:42:38  | 6516       | Code.exe                  | 0.70       | 209.81    
2026-04-27 16:42:38  | 7032       | Code.exe                  | 6.00       | 126.47    
2026-04-27 16:42:38  | 8220       | SearchIndexer.exe         | 0.70       | 32.11     
2026-04-27 16:42:38  | 9116       | powershell.exe            | 0.70       | 68.39     
2026-04-27 16:42:38  | 10388      | vmtoolsd.exe              | 1.50       | 19.57     
2026-04-27 16:42:38  | 10996      | ProtonVPN.Client.exe      | 2.20       | 321.00    
2026-04-27 16:42:40  | 0          | System Idle Process       | 309.20     | 0.01      
2026-04-27 16:42:40  | 1080       | dwm.exe                   | 2.20       | 118.12    
2026-04-27 16:42:40  | 1472       | Code.exe                  | 12.00      | 296.55    
2026-04-27 16:42:40  | 1496       | python.exe                | 1.50       | 18.26     
2026-04-27 16:42:40  | 2636       | Code.exe                  | 3.00       | 136.36    
2026-04-27 16:42:40  | 3416       | vmtoolsd.exe              | 0.80       | 22.63     
2026-04-27 16:42:40  | 3524       | Code.exe                  | 47.40      | 113.54    
2026-04-27 16:42:40  | 3724       | vm3dservice.exe           | 0.80       | 9.45      
2026-04-27 16:42:40  | 8220       | SearchIndexer.exe         | 0.80       | 32.12     
2026-04-27 16:42:40  | 8264       | Code.exe                  | 0.80       | 114.37    
2026-04-27 16:42:40  | 10996      | ProtonVPN.Client.exe      | 3.70       | 321.00    
2026-04-27 16:42:42  | 0          | System Idle Process       | 356.20     | 0.01      
2026-04-27 16:42:42  | 4          | System                    | 1.50       | 0.16      
2026-04-27 16:42:42  | 708        | csrss.exe                 | 0.70       | 18.32     
2026-04-27 16:42:42  | 1080       | dwm.exe                   | 5.90       | 118.12    
2026-04-27 16:42:42  | 1472       | Code.exe                  | 14.00      | 289.98    
2026-04-27 16:42:42  | 1496       | python.exe                | 0.70       | 18.26     
2026-04-27 16:42:42  | 2636       | Code.exe                  | 3.70       | 137.07    
2026-04-27 16:42:42  | 3416       | vmtoolsd.exe              | 0.70       | 22.63     
2026-04-27 16:42:42  | 3524       | Code.exe                  | 5.90       | 113.65    
2026-04-27 16:42:42  | 3840       | OpenConsole.exe           | 1.50       | 10.91     
2026-04-27 16:42:42  | 7032       | Code.exe                  | 2.90       | 126.64    
2026-04-27 16:42:44  | 0          | System Idle Process       | 342.10     | 0.01      
2026-04-27 16:42:44  | 476        | SearchProtocolHost.exe    | 0.80       | 19.62     
2026-04-27 16:42:44  | 1080       | dwm.exe                   | 4.50       | 118.12    
2026-04-27 16:42:44  | 1472       | Code.exe                  | 13.50      | 293.32    
2026-04-27 16:42:44  | 1496       | python.exe                | 0.80       | 18.26     
2026-04-27 16:42:44  | 2620       | ctfmon.exe                | 1.50       | 32.09     
2026-04-27 16:42:44  | 2636       | Code.exe                  | 4.50       | 136.49    
2026-04-27 16:42:44  | 3468       | MsMpEng.exe               | 0.70       | 242.50    
2026-04-27 16:42:44  | 3524       | Code.exe                  | 15.00      | 115.16    
2026-04-27 16:42:44  | 3840       | OpenConsole.exe           | 0.70       | 10.91     
2026-04-27 16:42:44  | 7032       | Code.exe                  | 3.00       | 126.59    
2026-04-27 16:42:44  | 8220       | SearchIndexer.exe         | 0.70       | 32.16     
2026-04-27 16:42:44  | 9404       | TextInputHost.exe         | 0.70       | 119.78    
2026-04-27 16:42:44  | 10996      | ProtonVPN.Client.exe      | 0.70       | 321.00    
2026-04-27 16:42:47  | 0          | System Idle Process       | 336.20     | 0.01      
2026-04-27 16:42:47  | 4          | System                    | 2.20       | 0.16      
2026-04-27 16:42:47  | 476        | SearchProtocolHost.exe    | 0.70       | 19.62     
2026-04-27 16:42:47  | 708        | csrss.exe                 | 1.50       | 18.32     
2026-04-27 16:42:47  | 1080       | dwm.exe                   | 5.20       | 118.12    
2026-04-27 16:42:47  | 1472       | Code.exe                  | 10.40      | 294.16    
2026-04-27 16:42:47  | 1496       | python.exe                | 1.50       | 18.26     
2026-04-27 16:42:47  | 2636       | Code.exe                  | 3.00       | 136.73    
2026-04-27 16:42:47  | 3416       | vmtoolsd.exe              | 0.80       | 22.63     
2026-04-27 16:42:47  | 3524       | Code.exe                  | 8.30       | 115.18    
2026-04-27 16:42:47  | 3840       | OpenConsole.exe           | 1.50       | 10.91     
2026-04-27 16:42:47  | 6516       | Code.exe                  | 9.10       | 203.50    
2026-04-27 16:42:47  | 7032       | Code.exe                  | 1.50       | 126.59    
2026-04-27 16:42:47  | 8220       | SearchIndexer.exe         | 0.80       | 32.18     
2026-04-27 16:42:47  | 10996      | ProtonVPN.Client.exe      | 4.50       | 321.00    
